,Open,High,Low,Close,Volume
146,86.18,87.39,86.1,87.25,115581676
147,87.99,88.06,86.14,86.69,96124742
148,86.12,87.24,85.75,86.83,83062203
149,87.66,88.28,87.37,87.96,86228604
150,88.18,89.27,87.89,88.94,75580008
151,88.97,89.29,88.29,88.7,72627492
152,88.48,89.13,88.16,88.55,61176080
153,88.26,88.82,88.26,88.68,55452586
154,88.39,88.82,88.39,88.81,48765045
155,89.06,90,89.04,90,69707463
156,90.27,91.23,90.03,90.24,85041824
157,90.19,90.57,89.68,90.12,64377278
158,90.17,90.97,90.07,90.91,63694204
159,91.43,92.6,91.26,92.59,110689894
160,92.86,95.02,92.84,95.02,153345689
161,95.83,96.41,92.9,93.72,203176260
162,93.49,95.57,92.59,95.55,141330637
163,95.16,95.7,94.45,94.66,105029568
164,94.22,95.64,93.65,94.75,109334113
165,97.14,97.27,96.22,96.53,106728601
166,96.43,96.59,95.81,96.4,66844323
167,96.46,96.81,96.09,96.21,50701084
168,95.81,95.94,94.69,94.84,75672793
169,95.32,95.51,93.89,95.03,84579607
170,95.11,96.45,94.93,96.42,91972629
171,96.51,96.62,95.66,95.75,84090475
172,96.17,96.9,95.83,96.61,97845664
173,96.86,97.5,96.54,97.21,82416145
174,97.21,97.61,94.59,94.68,121998898
175,95.02,95.73,93.79,94.37,125984852
176,95.26,95.7,93.71,95.68,178054492
177,96.77,97.93,96.4,97.57,149589629
178,98.56,99.57,98.27,98.75,150118311
179,99.91,99.97,99.23,99.97,99507499
180,99.98,100.33,99.49,100.27,93375667
181,100.04,100.57,99.94,100.3,81715004
182,99.88,100.01,99.09,99.81,84141932
183,100.34,100.72,99.91,100.01,142897076
184,98.12,99.3,97.57,98.68,159936196
185,98.32,98.97,96.14,96.22,129690449
186,95.53,96.1,94.46,95.03,144175906
187,94.9,97.45,94.34,97.33,148522031
188,96.96,97.3,95.25,95.3,133777077
189,95.88,96.68,93.79,94.2,135895921
190,94.54,95.19,92.95,94.47,156997638
191,94.98,95.98,94.66,95.92,106069719
192,95.89,96.32,95.08,95.26,92688813
193,95.03,95.14,93.04,93.23,148501108
194,92.41,92.51,90.87,91.17,159494867
195,91.24,91.5,89.08,90.84,209648887
196,91.39,92.14,91,91.56,127588930
197,92.4,92.5,89.7,89.7,136520097
198,89.94,90.77,89.33,89.96,115003665
199,90.34,90.73,89.12,90.68,108124961
200,90.77,92.9,90.14,92.83,137442816
201,92.7,93.26,92,92.09,97327643
202,91.37,91.72,90,90.38,119155512
203,90.15,90.25,87.09,87.12,186021017
204,87.49,90.77,87.25,90.58,136682392
205,90.14,90.56,87.39,87.62,176786197
206,88.78,89.51,87.23,88.12,139631772
207,88.57,88.86,86.51,87.08,164081393
208,87.06,87.71,84.43,86.29,254605834
209,84.98,85.99,83.96,85.05,127500471
210,85.46,86.14,84.88,85.22,90361922
211,85.13,85.28,82.11,82.4,149843064
212,83.36,83.97,82.51,83.52,132321224
213,84.32,84.39,82.87,83.26,93729041
214,81.98,82.08,79.39,79.71,198412186
215,80.09,80.32,76.47,76.82,264036339
216,77.2,79.27,76.25,78.15,232476496
217,79.16,79.21,76.95,77.55,128950479
218,76.99,78.64,76.62,77.56,133302610
219,77.93,78.21,76.6,76.7,119291977
220,76.79,77.07,74.66,75.09,197477385
221,75.03,75.71,72.25,75.38,316722763
222,77.24,81.07,77.13,80.82,205792965
223,81.7,81.71,79.23,80.13,160687856
224,80.61,81.05,79.51,80.24,93306759
225,81.02,81.71,80.37,81.64,68206579
226,82.27,84.29,81.96,84.22,157644431
227,84.22,84.35,82.87,83.54,133328454
228,82.47,83.69,81.75,83.28,130264981
229,84.32,84.89,83.61,84.19,128674525
230,83.83,84.06,83.24,83.61,97824986
231,84.81,84.94,83.64,83.74,91069097
232,83.11,83.11,81.73,82.26,139482392
233,81.27,81.32,76.97,76.97,261159353
234,75.56,79.04,74.09,78.18,294301791
235,79.06,79.31,75.71,76.18,196941794
236,75,76.93,74.51,75.69,157620575
237,77.11,78.51,76.77,77.34,148085903
238,78.25,78.29,76.61,77,121783130
239,75.88,76.81,75.11,75.67,156314627
240,73.54,74.02,72.23,72.83,252394499
241,72.7,74.29,71.6,74.12,189736022
242,75,76.41,74.32,76.27,156417023
243,75.92,76.24,75.07,75.19,112340424
244,75.71,75.74,74.13,74.53,120421798
245,73.21,74.24,72.89,74.19,149129554
246,74.34,74.89,74.1,74.31,43936977
247,74.14,74.21,73.02,73.29,75609030
248,73.36,73.75,72.09,73.58,113779680
249,72.9,73.5,72.59,72.8,88569243
250,72.93,76.49,72.71,76.02,164872785
